A continuación, se presenta un inventario detallado del equipamiento de un vehículo auto bomba rural pesado (BRP) tipo R2, con fecha de revisión 15.11.2012, tal como se establece en la ficha técnica de materiales del Consorcio Provincial de Bomberos de Guadalajara. Este inventario se organiza por las diferentes ubicaciones del vehículo.

### **Equipamiento de la cabina (parte delantera)**

| Cantidad | Descripción del Equipo | Localización Específica |
| :------- | :--------------------- | :---------------------- |
| 1        | Cargador de explosímetro | Parque                 |
| 1        | Explosímetro           | Parque                 |
| 1        | Cámara térmica         | Derecha                |
| 1        | Cargador cámara térmica | Derecha                |
| 1        | Batería de repuesto cámara térmica | Derecha                |
| ≥ 12     | Mascarillas FFP1       | Centro derecha         |
| 1        | Caja de guantes sanitarios | Centro derecha         |
| 1        | Cinta americana        | Centro derecha         |
| 1        | Rollo de baliza para bomberos | Centro derecha         |
| 2        | Adaptador de botella "T" ERA | Centro                 |
| 1        | Caja para máscara      | Centro                 |
| 1        | Pulmo                  | Centro                 |
| 1        | Máscara de pulpos      | Centro izquierda       |
| 1        | Araña                  | Centro izquierda       |
| 2        | Cintas para tablero    | Centro izquierda       |
| 1        | Pizarra                | Centro izquierda       |
| 1        | Rotulador para pizarra | Junto a pizarra        |

### **Equipamiento de la cabina (zona delantera)**

| Cantidad | Descripción del Equipo | Localización Específica |
| :------- | :--------------------- | :---------------------- |
| 1        | Mando de cabestrante   | Centro izquierda       |
| 3        | Linternas con cargador | Bandeja central        |
| 4        | Cargadores para emisora portátil | Centro                 |
| 1        | GPS navegador          | Salpicadero            |
| 1        | Cargador GPS navegador (micro USB) | Salpicadero            |
| 1        | GPS portátil de mano (Garmin Venture Hcx) | Guantera superior      |
| 1        | Paquete precintado con 4 pilas AA para GPS | Guantera superior      |
| 1        | Prismáticos            | Guantera derecha       |
| 1        | Cargador móvil         | Bandeja central        |
| 1        | Juego de llaves de rescate | Bandeja central        |
|          | Llaves para armarios eléctricos | Bandeja central        |
|          | Llaves de ascensor     | Bandeja central        |
|          | Llave genérica cuadrada | Bandeja central        |
|          | Llave genérica triangular | Bandeja central        |
|          | Llaves de registro de gas | Bandeja central        |
| 1        | Carpeta de documentación del vehículo | Guantera izquierda     |
|          | Parte de accidentes    | Guantera izquierda     |
|          | Permiso de circulación | Guantera izquierda     |
|          | Tarjeta de inspección técnica | Guantera izquierda     |
|          | Manual de instrucciones del chasis | Guantera izquierda     |
| 1        | Carpeta de repostaje   | Guantera izquierda     |
|          | Tarjeta SOLRED         | Guantera izquierda     |
|          | Tarjeta CEPSA          | Guantera izquierda     |
| 1        | Libro de anotación de repostajes | Bandeja trasera        |
| 1        | Mapa de carreteras de España | Bandeja trasera        |
| 1        | Carpeta de mapas       | Bandeja trasera        |
| 1        | Libro de protocolos – Fichas de material | Bandeja trasera        |
| 1        | Carpeta de informes post-intervención | Bandeja trasera        |
| 1        | Equipos autónomos      | Respaldo acompañante   |

### **Equipamiento de armarios izquierdos (Central y Trasero)**

#### **Armario Izquierdo Central**

| Cantidad | Descripción del Equipo | Localización Específica |
| :------- | :--------------------- | :---------------------- |
| 1        | Juego de cojines de baja presión | Ver esquema            |
| 2        | Mangueras de baja presión | Ver esquema            |
| 2        | Mangueras de alta presión | Ver esquema            |
| 1        | Manoreductor           | Ver esquema            |
| 1        | Grifería de baja presión | Ver esquema            |
| 1        | Grifería de alta presión | Ver esquema            |
| 1        | Cojín de alta presión mediano | Ver esquema            |
| 1        | Cojín de alta presión grande | Ver esquema            |
| 2        | Cojín de alta presión pequeño | Ver esquema            |
| 2        | Latiguillo de corte    | Ver esquema            |
| 1        | Botella de aire        | Ver esquema            |
| 1        | Estrangulador de gas hasta Ø90 | Ver esquema            |
| 1        | Estrangulador de gas mayor Ø90 | Ver esquema            |
| 1        | Llave de vaso con cruceta para gas natural | Junto a estranguladores |
| 1        | Motoventilador         | Ver esquema            |
| 1        | Motobomba              | Ver esquema            |

#### **Armario Izquierdo Trasero**

| Cantidad | Descripción del Equipo | Localización Específica |
| :------- | :--------------------- | :---------------------- |
| 1        | Kit NBQ                | Ver esquema            |
| 1        | Botellas de desinfección biológica | Ver esquema            |
| 6        | Trajes desechables NII | Ver esquema            |
| 1        | Par de Botas Nº 42     | Ver esquema            |
| 1        | Par de Botas Nº 44     | Ver esquema            |
| 1        | Par de Botas Nº 46     | Ver esquema            |
| 2        | Rollos de cinta química | Ver esquema            |
| 3        | Pares de guantes de neopreno T9 | Ver esquema            |
| 3        | Pares de guantes de neopreno T10 | Ver esquema            |
| 1        | Juego de guantes de algodón | Ver esquema            |
| 2        | Pares de guantes de trabajo | Ver esquema            |
| 1        | Manual de fichas de intervención | Ver esquema            |
| 2        | Devanaderas portátiles con 2 tramos de 25m | Ver esquema            |
| 1        | Extintor de polvo de 6 kg | Ver esquema            |
| 1        | Extintor de CO2 de 5 kg | Ver esquema            |
| 1        | Combi de gasolina      | Armario inferior       |
| 1        | Electrobomba grande    | Armario inferior       |
| 1        | Garrafa de gasolina    | Armario inferior       |
| 1        | Garrafa AD-BLUE        | Armario inferior       |
| 2        | Embudos                | Armario inferior       |

### **Equipamiento de armarios derechos (Trasero y Central)**

#### **Armario Derecho Trasero**

| Cantidad | Descripción del Equipo | Localización Específica |
| :------- | :--------------------- | :---------------------- |
