A continuación, se presenta un temario detallado sobre la calendarización del programa de entrenamiento y las fichas de registro de pruebas físicas.

### 1. Calendarización del programa de entrenamiento (ejemplo)

Este calendario ilustra la distribución del periodo preparatorio y el de formación a lo largo de 25 semanas de entrenamiento.

**CALENDARIO TEMPORADA**

**ENERO - FEBRERO - MARZO**

|  | L | M | X | J | V | S | D |
|---|---|---|---|---|---|---|---|
| **INICIACIÓN** | 5 | 6 | 7 | 8 | 9 | 10 | 11 |
|  | 12 | 13 | 14 | 15 | 16 | 17 | 18 |
|  | 19 | 20 | 21 | 22 | 23 | 24 | 25 |
|  | 26 | 27 | 28 | 29 | 30 | 31 | 1 |
| **DESARROLLO** | 2 | 3 | 4 | 5 | 6 | 7 | 8 |
|  | 9 | 10 | 11 | 12 | 13 | 14 | 15 |
|  | 16 | 17 | 18 | 19 | 20 | 21 | 22 |
| **PERFECCIONAMIENTO** | 23 | 24 | 25 | 26 | 27 | 28 | 1 |
|  | 2 | 3 | 4 | 5 | 6 | 7 | 8 |

**MARZO - ABRIL**

|  | L | M | X | J | V | S | D |
|---|---|---|---|---|---|---|---|
| **MESOCICLO 1** | 9 | 10 | 11 | 12 | 13 | 14 | 15 |
|  | 16 | 17 | 18 | 19 | 20 | 21 | 22 |
|  | 23 | 24 | 25 | 26 | 27 | 28 | 29 |
|  | 30 | 31 | 1 | 2 | 3 | 4 | 5 |
| **MESOCICLO 2** | 6 | 7 | 8 | 9 | 10 | 11 | 12 |
|  | 13 | 14 | 15 | 16 | 17 | 18 | 19 |
|  | 20 | 21 | 22 | 23 | 24 | 25 | 26 |
|  | 27 | 28 | 29 | 30 | 1 | 2 | 3 |

**MAYO - JUNIO**

|  | L | M | X | J | V | S | D |
|---|---|---|---|---|---|---|---|
| **MESOCICLO 3** | 4 | 5 | 6 | 7 | 8 | 9 | 10 |
|  | 11 | 12 | 13 | 14 | 15 | 16 | 17 |
|  | 18 | 19 | 20 | 21 | 22 | 23 | 24 |
|  | 25 | 26 | 27 | 28 | 29 | 30 | 31 |
| **MESOCICLO 4** | 1 | 2 | 3 | 4 | 5 | 6 | 7 |
|  | 8 | 9 | 10 | 11 | 12 | 13 | 14 |
|  | 15 | 16 | 17 | 18 | 19 | 20 | 21 |
|  | 22 | 23 | 24 | 25 | 26 | 27 | 28 |

### 2. Fichas de registro de test físicos

Estas fichas están diseñadas para registrar los datos de las pruebas físicas individuales realizadas por cada bombero.

**TEST FÍSICOS: CONCONI**

| FECHAS | BOMBEROS | | | | | | | | | |
|---|---|---|---|---|---|---|---|---|---|---|
| | 1 | | | | | | | | | |
| | 2 | | | | | | | | | |
| | 3 | | | | | | | | | |
| | 4 | | | | | | | | | |
| | 5 | | | | | | | | | |
| | 6 | | | | | | | | | |
| | 7 | | | | | | | | | |
| | 8 | | | | | | | | | |
| | 9 | | | | | | | | | |
| | 10 | | | | | | | | | |
| | 11 | | | | | | | | | |
| | 12 | | | | | | | | | |
| | 13 | | | | | | | | | |
| | 14 | | | | | | | | | |
| | 15 | | | | | | | | | |
| | 16 | | | | | | | | | |
| | 17 | | | | | | | | | |
| | 18 | | | | | | | | | |
| | 19 | | | | | | | | | |
| | 20 | | | | | | | | | |
| | 21 | | | | | | | | | |
| | 22 | | | | | | | | | |

**TEST FÍSICOS: FUERZA TREN SUPERIOR**

| FECHAS | BOMBEROS | | | | | | | | | |
|---|---|---|---|---|---|---|---|---|---|---|
| | 1 | | | | | | | | | |
| | 2 | | | | | | | | | |
| | 3 | | | | | | | | | |
| | 4 | | | | | | | | | |
| | 5 | | | | | | | | | |
| | 6 | | | | | | | | | |
| | 7 | | | | | | | | | |
| | 8 | | | | | | | | | |
| | 9 | | | | | | | | | |
| | 10 | | | | | | | | | |
| | 11 | | | | | | | | | |
| | 12 | | | | | | | | | |
| | 13 | | | | | | | | | |
| | 14 | | | | | | | | | |
| | 15 | | | | | | | | | |
| | 16 | | | | | | | | | |
| | 17 | | | | | | | | | |
| | 18 | | | | | | | | | |
| | 19 | | | | | | | | | |
| | 20 | | | | | | | | | |
| | 21 | | | | | | | | | |
| | 22 | | | | | | | | | |

**TEST FÍSICOS: TREN FUERZA INFERIOR**

| FECHAS | BOMBEROS | | | | | | | | | |
|---|---|---|---|---|---|---|---|---|---|---|
| | 1 | | | | | | | | | |
| | 2 | | | | | | | | | |
| | 3 | | | | | | | | | |
| | 4 | | | | | | | | | |
| | 5 | | | | | | | | | |
| | 6 | | | | | | | | | |
| | 7 | | | | | | | | | |
| | 8 | | | | | | | | | |
| | 9 | | | | | | | | | |
| | 10 | | | | | | | | | |
| | 11 | | | | | | | | | |
| | 12 | | | | | | | | | |
| | 13 | | | | | | | | | |
| | 14 | | | | | | | | | |
| | 15 | | | | | | | | | |
| | 16 | | | | | | | | | |
| | 17 | | | | | | | | | |
| | 18 | | | | | | | | | |
| | 19 | | | | | | | | | |
| | 20 | | | | | | | | | |
| | 21 | | | | | | | | | |
| | 22 | | | | | | | | | |

**TEST FÍSICOS: CIRCUITO TÉC-COORD**

| FECHAS | BOMBEROS | | | | | | | | | |
|---|---|---|---|---|---|---|---|---|---|---|
| | 1 | | | | | | | | | |
| | 2 | | | | | | | | | |
| | 3 | | | | | | | | | |
| | 4 | | | | | | | | | |
| | 5 | | | | | | | | | |
| | 6 | | | | | | | | | |
| | 7 | | | | | | | | | |
| | 8 | | | | | | | | | |
| | 9 | | | | | | | | | |
| | 10 | | | | | | | | | |
| | 11 | | | | | | | | | |
| | 12 | | | | | | | | | |
| | 13 | | | | | | | | | |
| | 14 | | | | | | | | | |
| | 15 | | | | | | | | | |
| | 16 | | | | | | | | | |
| | 17 | | | | | | | | | |
| | 18 | | | | | | | | | |
| | 19 | | | | | | | | | |
| | 20 | | | | | | | | | |
| | 21 | | | | | | | | | |
| | 22 | | | | | | | | | |

**TEST FÍSICOS: ELASTICIDAD**

| FECHAS | BOMBEROS | | | | | | | | | |
|---|---|---|---|---|---|---|---|---|---|---|
| | 1 | | | | | | | | | |
| | 2 | | | | | | | | | |
| | 3 | | | | | | | | | |
| | 4 | | | | | | | | | |
| | 5 | | | | | | | | | |
| | 6 | | | | | | | | | |
| | 7 | | | | | | | | | |
| | 8 | | | | | | | | | |
| | 9 | | | | | | | | | |
| | 10 | | | | | | | | | |
| | 11 | | | | | | | | | |
| | 12 | | | | | | | | | |
| | 13 | | | | | | | | | |
| | 14 | | | | | | | | | |
| | 15 | | | | | | | | | |
| | 16 | | | | | | | | | |
| | 17 | | | | | | | | | |
| | 18 | | | | | | | | | |
| | 19 | | | | | | | | | |
| | 20 | | | | | | | | | |
| | 21 | | | | | | | | | |
| | 22 | | | | | | | | | |

**TEST FÍSICOS: NATACIÓN**

| FECHAS | BOMBEROS | DIF. C2-C1 | DIF. C3-C2 | DIF. C4-C3 |
|---|---|---|---|---|
| | 1 | | | |
| | 2 | | | |
| | 3 | | | |
| | 4 | | | |
| | 5 | | | |
| | 6 | | | |
| | 7 | | | |
| | 8 | | | |
| | 9 | | | |
| | 10 | | | |
| | 11 | | | |
| | 12 | | | |
| | 13 | | | |
| | 14 | | | |
| | 15 | | | |
| | 16 | | | |
| | 17 | | | |
| | 18 | | | |
| | 19 | | | |
| | 20 | | | |
| | 21 | | | |
| | 22 | | | |
